id,subject,subjectinfo_id,regulatory_focus,age,age_interval,gender,income,platform_preference,visit_frequency,visit_mean,app_expense,previous_experience,involvement,directlyPurchase,combine_choice,purchase,review,detail,review_num,detail_num,apporder,appname,combine,combine_num,combine_HighJ,combine_HighU,combine_LowJ,combine_LowU,prevenU,prevenJ,promoU,promoJ,Jshape,Ushape,numRating,totalrating,averagerating,clickorder,choiceset,perceived_rf,success_induced
34,9,9,0,25,21~25,0,4,1,3,1,3,4,1,0,2,1,1,0,1,0,2,2,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,2681,4.4,rp,119,0,yes
33,9,9,0,25,21~25,0,4,1,3,1,3,4,1,0,2,0,1,0,1,0,1,3,LowU,3,0,0,0,1,0,0,1,0,0,1,0,29,3.2,r,119,0,yes
36,9,9,0,25,21~25,0,4,1,3,1,3,4,1,0,2,0,0,0,0,0,4,4,HighU,4,0,1,0,0,0,0,1,0,0,1,1,1080,3.5,,119,0,yes
38,10,10,0,25,21~25,0,7,0,3,1,3,6,0,0,2,0,1,0,1,0,2,2,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,45,4.1,r,63,0,yes
40,10,10,0,25,21~25,0,7,0,3,1,3,6,0,0,2,1,1,0,1,0,4,1,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,2429,4.3,rp,63,0,yes
39,10,10,0,25,21~25,0,7,0,3,1,3,6,0,0,2,0,0,0,0,0,3,3,LowU,3,0,0,0,1,0,0,1,0,0,1,0,24,3.3,,63,0,yes
37,10,10,0,25,21~25,0,7,0,3,1,3,6,0,0,2,0,1,0,1,0,1,4,HighU,4,0,1,0,0,0,0,1,0,0,1,1,2746,3.5,r,63,0,yes
43,11,11,0,35,31~35,1,2,0,2,0,5,6,1,0,4,0,0,0,0,0,3,3,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,28,4.1,,39,0,yes
42,11,11,0,35,31~35,1,2,0,2,0,5,6,1,0,4,0,0,0,0,0,2,2,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,3095,4,,39,0,yes
44,11,11,0,35,31~35,1,2,0,2,0,5,6,1,0,4,0,0,1,0,1,4,4,LowU,3,0,0,0,1,0,0,1,0,0,1,0,43,3.5,d,39,0,yes
41,11,11,0,35,31~35,1,2,0,2,0,5,6,1,0,4,1,0,0,0,0,1,1,HighU,4,0,1,0,0,0,0,1,0,0,1,1,4769,3.4,p,39,0,yes
46,12,12,1,41,41~45,1,1,1,2,0,3,5,1,0,4,0,1,0,1,0,2,2,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,25,4.3,r,54,0,no
47,12,12,1,41,41~45,1,1,1,2,0,3,5,1,0,4,0,0,0,0,0,3,3,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,4402,4.3,,54,0,no
48,12,12,1,41,41~45,1,1,1,2,0,3,5,1,0,4,0,0,0,0,0,4,4,LowU,3,0,0,0,1,1,0,0,0,0,1,0,49,3.4,,54,0,no
45,12,12,1,41,41~45,1,1,1,2,0,3,5,1,0,4,1,1,0,1,0,1,1,HighU,4,0,1,0,0,1,0,0,0,0,1,1,4748,3.4,rp,54,0,no
49,13,13,1,29,26~30,0,6,1,2,0,2,3,0,0,4,0,1,0,1,0,1,4,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,34,4.2,r,84,0,no
50,13,13,1,29,26~30,0,6,1,2,0,2,3,0,0,4,0,1,1,1,1,2,3,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,2232,4.1,rd,84,0,no
51,13,13,1,29,26~30,0,6,1,2,0,2,3,0,0,4,0,1,1,1,2,3,2,LowU,3,0,0,0,1,1,0,0,0,0,1,0,36,3.4,rdd,84,0,no
52,13,13,1,29,26~30,0,6,1,2,0,2,3,0,0,4,1,1,1,1,1,4,1,HighU,4,0,1,0,0,1,0,0,0,0,1,1,4550,3.3,drp,84,0,no
56,14,14,1,31,31~35,1,3,0,3,1,1,5,0,0,2,0,0,0,0,0,4,1,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,25,4,,112,1,yes
54,14,14,1,31,31~35,1,3,0,3,1,1,5,0,0,2,1,1,1,1,1,2,2,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,4816,4.2,drp,112,1,yes
53,14,14,1,31,31~35,1,3,0,3,1,1,5,0,0,2,0,1,1,1,1,1,3,LowU,3,0,0,0,1,1,0,0,0,0,1,0,42,3.3,dr,112,1,yes
55,14,14,1,31,31~35,1,3,0,3,1,1,5,0,0,2,0,0,1,0,1,3,4,HighU,4,0,1,0,0,1,0,0,0,0,1,1,2767,3.5,d,112,1,yes
58,15,15,0,27,26~30,0,2,1,4,1,2,3,1,0,1,1,0,1,0,1,2,2,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,33,4.3,dp,29,0,yes
57,15,15,0,27,26~30,0,2,1,4,1,2,3,1,0,1,0,0,1,0,1,1,3,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,1680,4.3,d,29,0,yes
59,15,15,0,27,26~30,0,2,1,4,1,2,3,1,0,1,0,0,1,0,1,3,1,LowU,3,0,0,0,1,0,0,1,0,0,1,0,42,3.3,d,29,0,yes
60,15,15,0,27,26~30,0,2,1,4,1,2,3,1,0,1,0,0,1,0,1,4,4,HighU,4,0,1,0,0,0,0,1,0,0,1,1,2044,3.3,d,29,0,yes
61,16,16,0,28,26~30,0,2,1,3,1,1,3,0,0,2,0,1,0,1,0,1,4,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,21,4.2,r,77,1,no
62,16,16,0,28,26~30,0,2,1,3,1,1,3,0,0,2,1,1,1,1,1,2,3,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,3826,4.2,rdp,77,1,no
64,16,16,0,28,26~30,0,2,1,3,1,1,3,0,0,2,0,0,0,0,0,4,2,LowU,3,0,0,0,1,0,0,1,0,0,1,0,43,3.3,,77,1,no
63,16,16,0,28,26~30,0,2,1,3,1,1,3,0,0,2,0,0,0,0,0,3,1,HighU,4,0,1,0,0,0,0,1,0,0,1,1,4529,3.3,,77,1,no
66,17,17,0,36,36~40,0,4,1,3,1,2,2,0,0,2,0,0,1,0,1,2,3,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,42,4.2,d,143,0,yes
68,17,17,0,36,36~40,0,4,1,3,1,2,2,0,0,2,1,0,1,0,1,4,4,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,1344,4.2,dp,143,0,yes
65,17,17,0,36,36~40,0,4,1,3,1,2,2,0,0,2,0,0,0,0,0,1,1,LowU,3,0,0,0,1,0,0,1,0,0,1,0,45,3.5,,143,0,yes
67,17,17,0,36,36~40,0,4,1,3,1,2,2,0,0,2,0,0,0,0,0,3,2,HighU,4,0,1,0,0,0,0,1,0,0,1,1,3706,3.3,,143,0,yes
70,18,18,0,45,41~45,0,4,1,3,1,3,7,1,0,2,0,1,1,1,1,2,1,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,47,4.3,dr,127,0,yes
71,18,18,0,45,41~45,0,4,1,3,1,3,7,1,0,2,1,1,1,1,1,3,3,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,2928,4.4,drp,127,0,yes
69,18,18,0,45,41~45,0,4,1,3,1,3,7,1,0,2,0,1,1,1,1,1,4,LowU,3,0,0,0,1,0,0,1,0,0,1,0,45,3.4,dr,127,0,yes
72,18,18,0,45,41~45,0,4,1,3,1,3,7,1,0,2,0,1,1,1,1,4,2,HighU,4,0,1,0,0,0,0,1,0,0,1,1,1163,3.6,dr,127,0,yes
75,19,19,1,28,26~30,0,2,1,3,1,2,6,1,0,1,1,1,1,1,1,3,3,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,29,4.1,drp,2,0,no
73,19,19,1,28,26~30,0,2,1,3,1,2,6,1,0,1,0,0,1,0,1,1,1,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,4581,4.2,d,2,0,no
76,19,19,1,28,26~30,0,2,1,3,1,2,6,1,0,1,0,0,1,0,1,4,4,LowU,3,0,0,0,1,1,0,0,0,0,1,0,26,3.5,d,2,0,no
74,19,19,1,28,26~30,0,2,1,3,1,2,6,1,0,1,0,0,1,0,2,2,2,HighU,4,0,1,0,0,1,0,0,0,0,1,1,1324,3.4,dd,2,0,no
80,20,20,0,40,36~40,1,1,0,3,1,4,6,1,0,4,0,0,0,0,0,4,3,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,40,4.3,,7,0,yes
77,20,20,0,40,36~40,1,1,0,3,1,4,6,1,0,4,0,1,0,1,0,1,1,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,3384,4.2,r,7,0,yes
79,20,20,0,40,36~40,1,1,0,3,1,4,6,1,0,4,0,0,0,0,0,3,4,LowU,3,0,0,0,1,0,0,1,0,0,1,0,26,3.2,,7,0,yes
78,20,20,0,40,36~40,1,1,0,3,1,4,6,1,0,4,1,1,0,1,0,2,2,HighU,4,0,1,0,0,0,0,1,0,0,1,1,4539,3.5,rp,7,0,yes
83,21,21,1,38,36~40,1,6,1,4,1,5,6,1,0,1,1,0,1,0,2,3,3,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,38,4.2,ddp,136,1,yes
84,21,21,1,38,36~40,1,6,1,4,1,5,6,1,0,1,0,0,1,0,1,4,2,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,4360,4.3,d,136,1,yes
81,21,21,1,38,36~40,1,6,1,4,1,5,6,1,0,1,0,0,1,0,1,1,1,LowU,3,0,0,0,1,1,0,0,0,0,1,0,30,3.2,d,136,1,yes
82,21,21,1,38,36~40,1,6,1,4,1,5,6,1,0,1,0,0,1,0,1,2,4,HighU,4,0,1,0,0,1,0,0,0,0,1,1,2812,3.3,d,136,1,yes
87,22,22,0,28,26~30,0,3,1,4,1,4,6,1,0,2,0,0,0,0,0,3,3,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,45,4.1,,33,1,no
85,22,22,0,28,26~30,0,3,1,4,1,4,6,1,0,2,1,1,1,1,1,1,2,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,1106,4.1,rdp,33,1,no
86,22,22,0,28,26~30,0,3,1,4,1,4,6,1,0,2,0,0,0,0,0,2,1,LowU,3,0,0,0,1,0,0,1,0,0,1,0,23,3.4,,33,1,no
88,22,22,0,28,26~30,0,3,1,4,1,4,6,1,0,2,0,1,1,1,1,4,4,HighU,4,0,1,0,0,0,0,1,0,0,1,1,1894,3.4,rd,33,1,no
89,23,23,1,26,26~30,1,3,1,2,0,2,4,0,0,2,0,0,1,0,1,1,4,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,44,4.1,d,80,1,yes
90,23,23,1,26,26~30,1,3,1,2,0,2,4,0,0,2,1,1,1,1,1,2,3,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,3094,4.3,rdp,80,1,yes
91,23,23,1,26,26~30,1,3,1,2,0,2,4,0,0,2,0,0,0,0,0,3,1,LowU,3,0,0,0,1,1,0,0,0,0,1,0,43,3.4,,80,1,yes
92,23,23,1,26,26~30,1,3,1,2,0,2,4,0,0,2,0,1,1,1,1,4,2,HighU,4,0,1,0,0,1,0,0,0,0,1,1,2872,3.5,dr,80,1,yes
93,24,24,0,30,26~30,0,1,1,2,0,1,5,0,0,1,1,1,1,2,1,1,2,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,27,4.3,rrdp,93,0,yes
95,24,24,0,30,26~30,0,1,1,2,0,1,5,0,0,1,0,1,1,1,1,3,4,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,1894,4,rd,93,0,yes
94,24,24,0,30,26~30,0,1,1,2,0,1,5,0,0,1,0,1,0,1,0,2,3,LowU,3,0,0,0,1,0,0,1,0,0,1,0,25,3.2,r,93,0,yes
96,24,24,0,30,26~30,0,1,1,2,0,1,5,0,0,1,0,0,0,0,0,4,1,HighU,4,0,1,0,0,0,0,1,0,0,1,1,1309,3.5,,93,0,yes
98,25,25,1,26,26~30,0,3,0,4,1,4,5,1,0,4,0,1,1,1,1,2,2,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,42,4.1,dr,62,1,yes
100,25,25,1,26,26~30,0,3,0,4,1,4,5,1,0,4,0,1,1,1,1,4,4,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,1324,4.3,rd,62,1,yes
99,25,25,1,26,26~30,0,3,0,4,1,4,5,1,0,4,0,1,0,1,0,3,1,LowU,3,0,0,0,1,1,0,0,0,0,1,0,46,3.3,r,62,1,yes
97,25,25,1,26,26~30,0,3,0,4,1,4,5,1,0,4,1,1,0,1,0,1,3,HighU,4,0,1,0,0,1,0,0,0,0,1,1,3755,3.4,rp,62,1,yes
102,26,26,0,55,51~55,1,4,1,2,0,1,5,1,1,4,0,0,0,0,0,2,1,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,29,4.1,,127,0,yes
103,26,26,0,55,51~55,1,4,1,2,0,1,5,1,1,4,0,0,0,0,0,3,3,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,3690,4.1,,127,0,yes
101,26,26,0,55,51~55,1,4,1,2,0,1,5,1,1,4,0,0,0,0,0,1,4,LowU,3,0,0,0,1,0,0,1,0,0,1,0,40,3.5,,127,0,yes
104,26,26,0,55,51~55,1,4,1,2,0,1,5,1,1,4,1,0,0,0,0,4,2,HighU,4,0,1,0,0,0,0,1,0,0,1,1,2964,3.5,p,127,0,yes
107,27,27,1,35,31~35,0,5,0,3,1,3,3,1,1,2,0,0,0,0,0,3,3,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,48,4,,40,0,no
106,27,27,1,35,31~35,0,5,0,3,1,3,3,1,1,2,1,0,0,0,0,2,2,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,2426,4.3,p,40,0,no
108,27,27,1,35,31~35,0,5,0,3,1,3,3,1,1,2,0,0,0,0,0,4,4,LowU,3,0,0,0,1,1,0,0,0,0,1,0,49,3.5,,40,0,no
105,27,27,1,35,31~35,0,5,0,3,1,3,3,1,1,2,0,0,0,0,0,1,1,HighU,4,0,1,0,0,1,0,0,0,0,1,1,3790,3.4,,40,0,no
111,28,28,0,21,21~25,1,3,0,4,1,4,7,1,0,2,0,0,0,0,0,3,2,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,33,4.3,,3,0,yes
109,28,28,0,21,21~25,1,3,0,4,1,4,7,1,0,2,1,0,1,0,1,1,3,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,3246,4.1,dp,3,0,yes
112,28,28,0,21,21~25,1,3,0,4,1,4,7,1,0,2,0,0,0,0,0,4,1,LowU,3,0,0,0,1,0,0,1,0,0,1,0,39,3.5,,3,0,yes
110,28,28,0,21,21~25,1,3,0,4,1,4,7,1,0,2,0,0,0,0,0,2,4,HighU,4,0,1,0,0,0,0,1,0,0,1,1,2211,3.5,,3,0,yes
116,29,29,0,30,26~30,0,3,1,3,1,3,5,1,0,2,0,1,1,1,1,4,4,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,38,4.3,dr,125,0,yes
115,29,29,0,30,26~30,0,3,1,3,1,3,5,1,0,2,1,1,1,1,1,3,2,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,3788,4.3,drp,125,0,yes
113,29,29,0,30,26~30,0,3,1,3,1,3,5,1,0,2,0,0,1,0,1,1,1,LowU,3,0,0,0,1,0,0,1,0,0,1,0,46,3.3,d,125,0,yes
114,29,29,0,30,26~30,0,3,1,3,1,3,5,1,0,2,0,1,1,1,1,2,3,HighU,4,0,1,0,0,0,0,1,0,0,1,1,2714,3.2,dr,125,0,yes
120,30,30,0,30,26~30,0,3,1,3,1,4,5,1,0,2,0,1,0,1,0,4,3,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,31,4.2,r,59,0,yes
119,30,30,0,30,26~30,0,3,1,3,1,4,5,1,0,2,1,1,0,2,0,3,1,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,3426,4.2,rrp,59,0,yes
118,30,30,0,30,26~30,0,3,1,3,1,4,5,1,0,2,0,1,0,1,0,2,4,LowU,3,0,0,0,1,0,0,1,0,0,1,0,37,3.4,r,59,0,yes
117,30,30,0,30,26~30,0,3,1,3,1,4,5,1,0,2,0,0,0,0,0,1,2,HighU,4,0,1,0,0,0,0,1,0,0,1,1,2986,3.4,,59,0,yes
121,31,31,1,28,26~30,0,5,1,4,1,4,6,1,1,2,0,0,0,0,0,1,3,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,38,4.3,,92,0,no
123,31,31,1,28,26~30,0,5,1,4,1,4,6,1,1,2,1,0,0,0,0,3,1,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,4613,4,p,92,0,no
122,31,31,1,28,26~30,0,5,1,4,1,4,6,1,1,2,0,0,0,0,0,2,4,LowU,3,0,0,0,1,1,0,0,0,0,1,0,47,3.4,,92,0,no
124,31,31,1,28,26~30,0,5,1,4,1,4,6,1,1,2,0,0,0,0,0,4,2,HighU,4,0,1,0,0,1,0,0,0,0,1,1,4800,3.3,,92,0,no
125,32,32,0,23,21~25,0,2,0,4,1,5,7,1,1,2,0,0,0,0,0,1,4,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,22,4.2,,79,0,yes
126,32,32,0,23,21~25,0,2,0,4,1,5,7,1,1,2,1,0,0,0,0,2,3,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,2113,4,p,79,0,yes
127,32,32,0,23,21~25,0,2,0,4,1,5,7,1,1,2,0,0,0,0,0,3,1,LowU,3,0,0,0,1,0,0,1,0,0,1,0,28,3.4,,79,0,yes
128,32,32,0,23,21~25,0,2,0,4,1,5,7,1,1,2,0,0,0,0,0,4,2,HighU,4,0,1,0,0,0,0,1,0,0,1,1,1118,3.4,,79,0,yes
130,33,33,0,31,31~35,0,4,0,3,1,2,5,0,0,2,0,0,0,0,0,2,2,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,41,4.2,,53,0,yes
132,33,33,0,31,31~35,0,4,0,3,1,2,5,0,0,2,1,1,1,1,1,3,3,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,3367,4.3,rdp,53,0,yes
134,33,33,0,31,31~35,0,4,0,3,1,2,5,0,0,2,0,0,1,0,1,4,4,LowU,3,0,0,0,1,0,0,1,0,0,1,0,20,3.5,d,53,0,yes
129,33,33,0,31,31~35,0,4,0,3,1,2,5,0,0,2,0,1,1,1,1,1,1,HighU,4,0,1,0,0,0,0,1,0,0,1,1,1561,3.4,rd,53,0,yes
133,34,34,1,37,36~40,0,4,1,3,1,3,6,0,0,2,0,1,1,1,2,2,2,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,23,4.1,rdd,50,0,no
135,34,34,1,37,36~40,0,4,1,3,1,3,6,0,0,2,1,1,1,1,2,3,4,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,4732,4.4,rddp,50,0,no
136,34,34,1,37,36~40,0,4,1,3,1,3,6,0,0,2,0,0,1,0,1,4,1,LowU,3,0,0,0,1,1,0,0,0,0,1,0,47,3.4,d,50,0,no
131,34,34,1,37,36~40,0,4,1,3,1,3,6,0,0,2,0,0,1,0,1,1,3,HighU,4,0,1,0,0,1,0,0,0,0,1,1,3853,3.3,d,50,0,no
138,35,35,1,33,31~35,0,4,1,3,1,4,7,1,0,2,0,0,0,0,0,2,1,LowJ,1,0,0,1,0,0,1,0,0,1,0,0,47,4.1,,18,0,no
137,35,35,1,33,31~35,0,4,1,3,1,4,7,1,0,2,1,0,1,0,2,1,4,HighJ,2,1,0,0,0,0,1,0,0,1,0,1,3473,4.2,ddp,18,0,no
140,35,35,1,33,31~35,0,4,1,3,1,4,7,1,0,2,0,0,1,0,1,4,3,LowU,3,0,0,0,1,1,0,0,0,0,1,0,49,3.3,d,18,0,no
139,35,35,1,33,31~35,0,4,1,3,1,4,7,1,0,2,0,0,1,0,1,3,2,HighU,4,0,1,0,0,1,0,0,0,0,1,1,1861,3.4,d,18,0,no
144,36,36,0,45,41~45,1,2,0,3,1,5,7,1,0,2,0,0,0,0,0,4,2,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,30,3.9,,9,0,yes
141,36,36,0,45,41~45,1,2,0,3,1,5,7,1,0,2,1,0,1,0,1,1,1,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,1273,4.4,dp,9,0,yes
143,36,36,0,45,41~45,1,2,0,3,1,5,7,1,0,2,0,0,0,0,0,3,4,LowU,3,0,0,0,1,0,0,1,0,0,1,0,21,3.3,,9,0,yes
142,36,36,0,45,41~45,1,2,0,3,1,5,7,1,0,2,0,0,0,0,0,2,3,HighU,4,0,1,0,0,0,0,1,0,0,1,1,4466,3.6,,9,0,yes
148,37,37,0,26,26~30,0,1,0,4,1,2,6,0,0,2,0,0,0,0,0,4,4,LowJ,1,0,0,1,0,0,0,0,1,1,0,0,32,4.3,,113,0,yes
146,37,37,0,26,26~30,0,1,0,4,1,2,6,0,0,2,1,0,0,0,0,2,1,HighJ,2,1,0,0,0,0,0,0,1,1,0,1,4064,4.2,p,113,0,yes
145,37,37,0,26,26~30,0,1,0,4,1,2,6,0,0,2,0,0,1,0,1,1,2,LowU,3,0,0,0,1,0,0,1,0,0,1,0,39,3.3,d,113,0,yes
147,37,37,0,26,26~30,0,1,0,4,1,2,6,0,0,2,0,0,0,0,0,3,3,HighU,4,0,1,0,0,0,0,1,0,0,1,1,1206,3.2,,113,0,yes
